year,total,rock,punk,metal,blues
1997,715,265,55,71,59
1998,788,234,44,60,59
1964,266,154,7,14,81
1993,665,234,43,72,39
1949,71,7,0,0,17
2010,530,105,7,9,53
1996,745,227,33,71,47
2005,806,219,31,33,93
1991,545,191,43,66,33
2002,721,210,25,30,72
2007,736,178,21,13,63
1982,377,174,47,73,29
1940,203,10,0,0,52
2009,568,104,9,14,53
1989,613,256,51,106,37
1990,870,313,57,99,97
1951,80,11,0,0,22
2011,435,68,0,2,40
1970,731,279,46,32,169
1986,469,223,48,81,35
1978,393,188,70,51,46
1939,49,4,0,0,6
1950,355,54,0,0,118
1947,55,12,0,0,14
1974,232,115,23,16,29
1926,23,1,0,0,4
1965,308,158,7,16,65
1969,288,133,4,18,73
2008,683,158,12,20,68
25,6,0,0,1,0
1980,824,337,72,87,118
1995,758,246,44,88,63
2006,740,165,17,20,69
2000,896,249,29,46,63
1934,35,0,0,0,5
1992,649,199,29,55,32
2013,218,28,0,0,26
1935,43,3,0,0,5
2003,799,229,32,43,73
2004,811,221,24,28,67
1954,100,26,1,0,33
1963,234,111,6,9,58
1946,79,8,0,0,15
1983,375,174,40,66,34
1999,782,248,27,52,57
1976,334,175,81,26,34
1971,216,92,12,10,42
2014,138,24,1,2,13
1985,471,204,46,92,31
2012,367,45,2,2,35
1994,640,221,39,76,35
1977,348,185,85,37,38
1981,352,169,55,63,28
1984,391,176,37,79,28
1968,292,131,13,14,58
2001,711,209,41,28,52
1987,457,170,44,74,30
1988,505,177,31,90,31
1979,400,211,81,53,35
1966,256,144,7,13,70
1972,217,104,16,15,35
1960,716,255,9,11,185
1916,11,0,0,0,2
1967,275,162,6,21,78
1955,115,22,0,0,36
1975,328,148,26,33,45
1959,175,65,4,1,45
40,5,1,1,0,1
1962,222,91,1,4,54
1973,230,105,18,10,29
198,8,4,1,0,0
1938,33,2,0,0,2
1956,150,48,0,0,35
1899,9,0,0,0,1
1936,40,0,0,0,4
1957,149,55,1,1,43
1952,70,13,0,0,21
1929,24,0,0,0,6
3,1,0,0,0,0
1909,4,0,0,0,0
1862,2,0,0,0,0
1930,153,6,0,0,58
1920,125,3,0,0,60
1948,63,4,0,0,12
1910,26,0,0,0,7
1914,7,0,0,0,3
1941,22,1,0,0,4
1922,13,0,0,0,4
1902,5,0,0,0,0
1937,32,2,0,0,3
1924,24,0,0,0,4
1931,25,1,0,0,6
1945,59,4,0,0,14
1849,1,0,0,0,0
1927,33,0,0,0,10
1925,22,0,0,0,3
1961,165,68,1,3,43
19,8,1,0,0,1
10,3,1,0,0,0
90,5,2,0,0,2
1870,2,0,0,0,0
1958,206,76,1,2,54
2015,67,7,0,0,3
1943,36,3,0,0,5
39,1,0,0,0,0
1942,46,2,0,0,4
1895,5,0,0,0,0
1944,39,0,0,0,2
1921,7,0,0,0,0
1892,1,0,0,0,0
1953,88,18,1,0,22
77,1,0,0,0,0
1919,14,2,0,0,4
1889,1,0,0,0,0
22,1,0,0,0,0
1878,1,0,0,0,0
1917,5,0,0,0,0
1904,4,0,0,0,0
18,1,1,0,0,0
1860,1,0,0,0,0
1912,9,0,0,0,2
1928,23,1,0,0,8
1900,14,0,0,0,5
1933,37,1,0,0,5
1932,19,1,0,0,4
1918,9,0,0,0,3
80,18,8,2,2,1
1890,7,0,0,0,1
1923,15,0,0,0,4
52,1,0,0,0,0
1875,3,0,0,0,0
1905,4,0,0,0,0
1867,1,0,0,0,0
1891,2,0,0,0,0
1903,8,0,0,0,1
1915,6,0,0,0,0
36,1,1,0,0,0
33,1,0,0,0,0
199,6,1,1,1,0
1880,6,0,0,0,0
196,2,0,0,0,0
11,2,1,0,1,0
1894,2,0,0,0,0
70,5,1,0,0,0
1790,1,0,0,0,0
13,1,0,0,0,1
56,1,0,0,0,0
195,1,0,0,0,0
20,4,3,0,0,2
35,3,0,0,0,0
1888,2,0,0,0,0
1906,1,0,0,0,0
1901,5,0,0,0,0
1879,1,0,0,0,0
1898,2,0,0,0,1
1908,3,0,0,0,1
1814,1,0,0,0,0
1897,3,0,0,0,0
1872,1,0,0,0,0
-2005,1,0,0,0,0
1844,1,0,0,0,0
50,3,0,0,0,0
1885,4,0,0,0,0
1852,2,0,0,0,0
31,1,1,0,0,0
1755,1,0,0,0,0
1596,1,0,0,0,0
1,1,0,0,0,0
1873,2,0,0,0,0
1893,3,0,0,0,1
60,2,0,0,0,1
1907,1,0,0,0,0
1869,1,0,0,0,0
1770,1,0,0,0,0
1845,1,0,0,0,0
197,6,3,0,0,0
16,1,0,0,0,0
1913,3,0,0,0,0
1863,1,0,0,0,0
1876,2,0,0,0,0
1850,2,0,0,0,0
30,3,1,0,0,0
1865,1,0,0,0,0
94,1,1,0,0,0
1887,2,0,0,0,0
1911,5,0,0,0,0
1776,1,0,0,0,0
17,1,0,0,0,0
8,2,0,0,1,0
1877,1,0,0,0,0
37,2,1,0,0,0
41,2,1,0,0,0
1883,1,0,0,0,0
45,1,0,0,0,0
1695,1,0,0,0,0
65,1,0,0,0,0
1774,1,0,0,0,0
5,1,0,0,0,1
350,1,0,0,0,0
32,1,0,0,0,0
27,1,0,0,0,0
12,1,0,0,0,0
1886,1,0,0,0,0
