year,total,garage rock,punk,post_hardcore
1997,715,4.5,49.5,9.0
1998,788,7.5,39.5,10.0
1964,266,6.0,5.0,0
1993,665,3.0,39.0,7.0
1949,71,0,0,0
2010,530,2.5,6.5,0
1996,745,3.0,29.5,6.5
2005,806,2.0,29.0,4.0
1991,545,2.5,39.5,5.0
2002,721,3.0,22.5,8.5
2007,736,0.5,19.0,4.5
1982,377,1.5,46.0,1.5
1940,203,0,0,0
2009,569,0.5,8.0,3.5
1989,613,4.5,47.5,2
1990,870,2.0,54.5,2.5
1951,80,0,0,0
2011,435,2,0,1
1970,731,2.0,45.0,1
1986,470,3.5,45.0,4.5
1978,393,1.0,68.0,1.0
1939,49,0,0,0
1950,356,0,0,0
1947,55,0,0,0
1974,232,1.5,22.5,0
1926,23,0,0,0
1965,308,1,7,0
1969,288,0,4,0
2008,683,0,11.5,4.5
25,6,0,0,0
1980,824,1,72,0
1995,758,3.0,41.5,7.5
2006,740,2.0,15.5,5.5
2000,896,3,29,4
1934,35,0,0,0
1992,649,2.5,26.5,2.0
2013,218,0,0,0
1935,43,0,0,0
2003,799,1,30.5,9.5
2004,811,0.5,22.5,4.0
1954,100,0,1,0
1963,234,1.5,4.5,0
1946,79,0,0,0
1983,375,1.0,38.5,1.5
1999,783,3.0,24.0,3.0
1976,334,0,81,0
1971,216,0,12,0
2014,138,0,1,0
1985,471,0.5,45.0,1.5
2012,368,1,2,1
1994,640,1,39,0
1977,348,1,85,0
1981,352,2.5,53.0,1.5
1984,391,1,36.0,1.0
1968,292,0.5,12.5,0
2001,711,4.5,36.0,7.5
1987,457,2.0,41.0,1.0
1988,505,0.5,30.5,1
1979,400,1.5,79.0,0.5
1966,256,1.0,6.0,0
1972,217,1.5,15.5,0
1960,716,1,9,0
1916,11,0,0,0
1967,275,4.5,5.5,0
1955,115,0,0,0
1975,328,0.5,25.5,0
1959,175,1,4,0
40,5,0,1,0
1962,222,3.5,0.5,0
1973,230,1.5,16.5,0
198,8,0,1,0
1938,33,0,0,0
1956,150,1,0,0
1899,9,0,0,0
1936,40,0,0,0
1957,149,1,1,0
1952,70,0,0,0
1929,24,0,0,0
3,1,0,0,0
1909,4,0,0,0
1862,2,0,0,0
1930,153,0,0,0
1920,125,0,0,0
1948,63,0,0,0
1910,26,0,0,0
1914,7,0,0,0
1941,22,0,0,0
1922,13,0,0,0
1902,5,0,0,0
1937,32,0,0,0
1924,24,0,0,0
1931,25,0,0,0
1945,59,0,0,0
1849,1,0,0,0
1927,33,0,0,0
1925,22,0,0,0
1961,165,2,1,0
19,8,0,0,0
10,3,0,0,0
90,5,0,0,0
1870,2,0,0,0
1958,206,0,1,0
2015,67,0,0,0
1943,36,0,0,0
39,1,0,0,0
1942,46,0,0,0
1895,5,0,0,0
1944,39,0,0,0
1921,7,0,0,0
1892,1,0,0,0
1953,88,0,1,0
77,1,0,0,0
1919,14,0,0,0
1889,1,0,0,0
22,1,0,0,0
1878,1,0,0,0
1917,5,0,0,0
1904,4,0,0,0
18,1,0,0,0
1860,1,0,0,0
1912,9,0,0,0
1928,23,0,0,0
1900,14,0,0,0
1933,37,0,0,0
1932,19,0,0,0
1918,9,0,0,0
80,18,0,2,0
1890,7,0,0,0
1923,15,0,0,0
52,1,0,0,0
1875,3,0,0,0
1905,4,0,0,0
1867,1,0,0,0
1891,2,0,0,0
1903,8,0,0,0
1915,6,0,0,0
36,1,0,0,0
33,1,0,0,0
199,6,0,1,0
1880,6,0,0,0
196,2,0,0,0
11,2,0,0,0
1894,2,0,0,0
70,5,0,0,0
1790,1,0,0,0
13,1,0,0,0
56,1,0,0,0
195,1,0,0,0
20,4,0,0,0
35,3,0,0,0
1888,2,0,0,0
1906,1,0,0,0
1901,5,0,0,0
1879,1,0,0,0
1898,2,0,0,0
1908,3,0,0,0
1814,1,0,0,0
1897,3,0,0,0
1872,1,0,0,0
-2005,1,0,0,0
1844,1,0,0,0
50,3,0,0,0
1885,4,0,0,0
1852,2,0,0,0
31,1,0,0,0
1755,1,0,0,0
1596,1,0,0,0
1,1,0,0,0
1873,2,0,0,0
1893,3,0,0,0
60,2,0,0,0
1907,1,0,0,0
1869,1,0,0,0
1770,1,0,0,0
1845,1,0,0,0
197,6,0,0,0
16,1,0,0,0
1913,3,0,0,0
1863,1,0,0,0
1876,2,0,0,0
1850,2,0,0,0
30,3,0,0,0
1865,1,0,0,0
94,1,0,0,0
1887,2,0,0,0
1911,5,0,0,0
1776,1,0,0,0
17,1,0,0,0
8,2,0,0,0
1877,1,0,0,0
37,2,0,0,0
41,2,0,0,0
1883,1,0,0,0
45,1,0,0,0
1695,1,0,0,0
65,1,0,0,0
1774,1,0,0,0
5,1,0,0,0
350,1,0,0,0
32,1,0,0,0
27,1,0,0,0
12,1,0,0,0
1886,1,0,0,0
