Key,Value
Indie rock,95
Alternative rock,170
Lo-fi music,3
C,187
e,470
l,524
t,343
i,1195
c,1029
 ,1037
m,688
u,798
s,1053
Folk music,162
Pop music,466
Dance music,88
Turbo-folk,2
Music of Serbia,1
Blues,91
Jazz,230
Romani music,1
Pop-folk,8
Europop,6
Electropop,20
Dance-pop,37
Heavy metal music,91
Rock music,234
Hard rock,95
Classical music,78
R,89
o,778
a,861
n,426
Hip hop soul,5
Contemporary R&B,111
Electronic dance music,26
H,112
p,515
h,190
E,27
r,471
Hip hop music,133
Rhythm and blues,148
Mandopop,8
Electro house,22
M,54
d,168
Indie pop,29
Pop rock,116
Reggae,40
Tejano music,4
Cumbia,8
Latin pop,20
Chicago blues,5
Soul blues,4
L,11
Bongo Flava,3
F,75
k,192
g,121
f,41
Power pop,12
Electronic music,94
Funk,49
Soul music,128
Gospel music,35
Jam band,3
Sacred Steel (musical tradition),1
y,130
I,36
v,47
J,148
z,242
Carnatic music,6
Hindustani classical music,18
Playback singer,11
P,190
b,61
Country music,62
D,14
Jazz fusion,44
Musical theatre,8
Glam metal,13
Pop-rap,3
Tarana,3
Khyal,5
Qawwali,3
Ghazal,13
Ruba'i,1
Progressive rock,55
Folk rock,55
World music,45
S,38
Arabic music,9
Music of Palestine,1
Alternative hip hop,19
Soft rock,21
Hardcore hip hop,4
Political hip hop,3
Drum and bass,13
House music,45
Trip hop,15
Breakbeat,8
Intelligent dance music,8
Electronica,65
Nu jazz,4
Electro (music),11
Afrikaans,1
English language,1
Rock and roll,43
Country rock,3
Boogie-woogie,3
Jump blues,6
A,54
Grunge,7
West Coast hip hop,3
Hyphy,1
Arabic pop music,3
Folk dance,1
Music of Egypt,2
Franco_Arabic,1
Bhangra (music),6
Punjabi language,1
Romance (love),1
Indian pop,4
Black metal,23
Symphonic black metal,4
Industrial metal,11
Americana (music),19
Independent music,21
Alternative country,11
Acoustic music,33
Free improvisation,3
Avant-garde jazz,13
Experimental rock,30
Christmas music,1
Contemporary Christian music,33
(,8
),8
Broadway theatre,4
Adult contemporary music,13
Pop punk,18
Indie folk,16
Experimental music,52
Tropical music,2
K-pop,5
W,12
Mariachi,3
Banda (music),1
Grupera,1
B,42
Samba,6
Salsa music,10
Bossa nova,6
Música popular brasileira,8
Latin music (genre),15
Ranchera,7
Mexican pop music,2
Rock en español,4
Modern rock,1
Christian adult contemporary,1
Glam rock,18
Contemporary worship music,13
Blues rock,40
O,18
Urban contemporary,7
New wave music,49
Synthpop,48
Post-punk,28
Showtunes,1
Fado,2
1990s,1
Punk rock,70
Symphonic metal,16
Gothic metal,12
Filmi,7
Film score,20
Post-bop,13
Music of Latin America,11
New-age music,16
Instrumental,15
Reggaeton,3
French pop music,5
Death metal,27
Thrash metal,28
Melodic death metal,13
Groove metal,7
Alternative metal,12
Power metal,22
Neoclassical metal,9
Progressive metal,27
Garage rock,11
Garage punk,1
T,19
N,10
Psychedelic rock,32
Gothic rock,10
Dark wave,8
Doom metal,15
Avant-garde metal,6
Ambient music,34
Industrial rock,14
Electronic body music,2
Post-industrial music,2
Electronic rock,11
Hip hop,4
Speed metal,5
Britpop,9
Disco,21
Folk metal,7
21st-century classical music,1
Trap music,9
_,14
Traditional pop music,10
Opera,12
Vocal music,4
Easy listening,9
Crossover music,10
Operatic pop,5
Post-rock,9
Celtic music,12
Eurodance,12
Downtempo,6
Choir,3
Nu-disco,5
w,28
Drone music,8
Techno,21
Gypsy jazz,1
Music of India,2
Big band,13
Metalcore,17
Hardcore punk,20
Horror punk,1
Folk punk,4
Art punk,3
Latin alternative,1
Electric blues,4
Texas blues,4
American folk music,6
Americana,1
-,47
Baroque pop,4
Dixieland,3
Pub rock (United Kingdom),3
Meditation,1
Wellness (alternative medicine),1
Pinoy hip hop,3
Math rock,2
Post-hardcore,12
Mathcore,3
Theatre,2
Psychedelic music,7
Bebop,10
Hard bop,9
Singer-songwriter,12
Great American Songbook,1
Symphonic rock,3
Canterbury scene,2
Krautrock,2
Production music,1
Music library,1
Progressive house,22
Deathcore,2
Sampling (music),1
Southern gospel,1
Bluegrass music,10
Christian rock,5
Roots rock,3
Christian country music,1
Nu metal,8
Christian metal,4
Alternative dance,6
Video game music,6
Neo-psychedelia,5
Stoner rock,4
Dance-rock,3
Boy band,1
Art rock,14
Cantopop,2
Party-metal,1
Dub music,11
Balearic beat,2
Avant-garde music,13
Country pop,2
Music of the Republic of Macedonia,2
Rave music,1
New Romanticism,1
Reggae fusion,2
Enigmatic_music,1
Musique concrète,1
Electroacoustic music,6
Acousmatic music,2
Instrumental rock,8
Contemporary classical music,7
Waltz,2
Fandango,1
Tango music,3
Ballad,2
Neo soul,7
Shoegazing,6
Brit_rock,1
Uplifting trance,3
Dubstep,8
Deep house,5
Rockabilly,12
Ska,7
Psychobilly,1
Glitch (music),7
Proto-punk,5
Freakbeat,1
Soul,3
Noise rock,3
Southern rock,5
Trance music,22
List of Christian dance electronic and techno artists,1
Old-time music,3
Folk music of England,1
Folk music of Ireland,3
Australian folk music,1
Music of Southeastern Europe,2
Scottish folk music,2
Music of Bulgaria,1
Punk jazz,1
Electro-industrial,1
Flamenco,6
Glam punk,2
Fingerstyle guitar,2
Christian hip hop,4
Bolero,5
Noise music,3
Improvisation,3
Post-punk revival,5
Swing music,14
Comedy music,1
Comedy rock,3
Neo-progressive rock,1
Art pop,3
India,1
Chalga,3
Balkan_pop,1
Classic rock,2
Indian people,1
Grime music,4
x,4
Music of Greece,3
Laika,1
Soca music,3
Romanian popular music,1
Traditional black gospel,6
Urban contemporary gospel,12
New jack swing,4
Album-oriented rock,1
Music of the Philippines,6
Freestyle music,6
Funk metal,2
Ska punk,4
Spoken word,5
Tech house,6
Moombahton,2
Electroclash,3
Sound art,1
G,11
Buddhist music,1
Buddhist chant,1
Chamber music,4
Spiritual (music),3
Avant-garde,7
Hi-NRG,5
UK garage,4
Western music (North America),2
Bollywood,4
Hymn,2
Bhajan,6
Kirtan,1
Vocal jazz,3
Christian music,5
Sufism,1
U,4
Dansband,3
Schlager music,9
Folk,1
Christian R&B,5
Memphis soul,2
Cajun music,2
',1
Dream pop,4
Balada_(genre),1
Chanson,7
Medieval folk rock,1
Celtic metal,2
Pagan metal,1
Adult album alternative,3
Psychedelic folk,4
J-pop,16
Anti-folk,4
Space music,1
&,11
q,7
Harp,1
Hard trance,1
Germany,1
Latin jazz,11
Brazilian jazz,3
Doo-wop,2
Jesus music,1
Blue-eyed soul,7
Music of Morocco,1
Post-grunge,7
